MatchName,Address,TeamA,ScoreA,TeamB,ScoreB,Winner,WonBy,MatchLink
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 31-Dec-20, 20 Ov., ",V.V.Nagar COP,256/3,Ford Eleven,100/10,V.V.Nagar COP,156 runs,https://cricheroes.in/scorecard/1319100/ELECON-T20-KNOCK-OUT-TOURNAMENT/V.V.Nagar-COP-vs-Ford-Eleven
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 30-Dec-20, 20 Ov., ",Lakshyam Sport Club,140/8,GNR COLTS,141/8,GNR COLTS,2 wickets,https://cricheroes.in/scorecard/1315534/ELECON-T20-KNOCK-OUT-TOURNAMENT/Lakshyam-Sport-Club-vs-GNR-COLTS
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 29-Dec-20, 20 Ov., ",KDP SPORTS CLUB NADIAD2020,185/9,Supernovas-11,103/10,KDP SPORTS CLUB NADIAD2020,82 runs,https://cricheroes.in/scorecard/1312061/ELECON-T20-KNOCK-OUT-TOURNAMENT/KDP-SPORTS-CLUB-NADIAD2020-vs-Supernovas-11
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 27-Dec-20, 20 Ov., ",Bhavani 11 Bedwa,84/10,V.V.Nagar COP,86/2,V.V.Nagar COP,8 wickets,https://cricheroes.in/scorecard/1304814/ELECON-T20-KNOCK-OUT-TOURNAMENT/Bhavani-11-Bedwa-vs-V.V.Nagar-COP
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 27-Dec-20, 20 Ov., ",Emenent Cricket Academy,113/8,Hansie 11,119/3,Hansie 11,7 wickets,https://cricheroes.in/scorecard/1302492/ELECON-T20-KNOCK-OUT-TOURNAMENT/Emenent-Cricket-Academy-vs-Hansie-11
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 26-Dec-20, 20 Ov., ",Topnotch Fooda,272/4,Shivaay 11,118/6,Topnotch Fooda,154 runs,https://cricheroes.in/scorecard/1296607/ELECON-T20-KNOCK-OUT-TOURNAMENT/Topnotch-Fooda-vs-Shivaay-11
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 25-Dec-20, 20 Ov., ",Aashirwad-11,122/10,K.D.C.A 11,123/6,K.D.C.A 11,4 wickets,https://cricheroes.in/scorecard/1291062/ELECON-T20-KNOCK-OUT-TOURNAMENT/Aashirwad-11-vs-K.D.C.A-11
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 23-Dec-20, 20 Ov., ",Lakshyam Sport Club,174/7,Khambhat Sports 11,139/10,Lakshyam Sport Club,35 runs,https://cricheroes.in/scorecard/1283296/ELECON-T20-KNOCK-OUT-TOURNAMENT/Lakshyam-Sport-Club-vs-Khambhat-Sports-11
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 22-Dec-20, 20 Ov., ",Vishvas-11,92/10,"Elecon Cricket Academy,VVN",98/3,"Elecon Cricket Academy,VVN",7 wickets,"https://cricheroes.in/scorecard/1279982/ELECON-T20-KNOCK-OUT-TOURNAMENT/Vishvas-11-vs-Elecon-Cricket-Academy,VVN"
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 21-Dec-20, 20 Ov., ",Stain 11,149/8,Shivaay 11,151/2,Shivaay 11,8 wickets,https://cricheroes.in/scorecard/1277025/ELECON-T20-KNOCK-OUT-TOURNAMENT/Stain-11-vs-Shivaay-11
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 20-Dec-20, 20 Ov., ",CRIC8-B,119/10,Anand The-Unbeatable,96/10,CRIC8-B,23 runs,https://cricheroes.in/scorecard/1273802/ELECON-T20-KNOCK-OUT-TOURNAMENT/CRIC8-B-vs-Anand-The-Unbeatable
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 20-Dec-20, 20 Ov., ",Ford Eleven,165/7,YOUNG-BRIGADE,141/10,Ford Eleven,24 runs,https://cricheroes.in/scorecard/1271375/ELECON-T20-KNOCK-OUT-TOURNAMENT/Ford-Eleven-vs-YOUNG-BRIGADE
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 19-Dec-20, 20 Ov., ",Cric-Fighters,119/9,Aashirwad-11,124/2,Aashirwad-11,8 wickets,https://cricheroes.in/scorecard/1265873/ELECON-T20-KNOCK-OUT-TOURNAMENT/Cric-Fighters-vs-Aashirwad-11
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 18-Dec-20, 20 Ov., ",BCC XI 07,147/8,Prostar Cricket Academy 07,140/8,BCC XI 07,7 runs,https://cricheroes.in/scorecard/1261873/ELECON-T20-KNOCK-OUT-TOURNAMENT/BCC-XI-07-vs-Prostar-Cricket-Academy-07
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 17-Dec-20, 20 Ov., ",M.B. Patel Applied College,104/10,Hansie 11,109/2,Hansie 11,8 wickets,https://cricheroes.in/scorecard/1258720/ELECON-T20-KNOCK-OUT-TOURNAMENT/M.B.-Patel-Applied-College-vs-Hansie-11
Individual Match,"Elecon Cricket Ground, Vallabh Vidyanagar, 04-Nov-20, 40 Ov.","Elecon Cricket Academy, Anand",255/7,"Pro-7, Nadiyad",169/10,"Elecon Cricket Academy, Anand",86 runs,"https://cricheroes.in/scorecard/1131107/individual/Elecon-Cricket-Academy,-Anand-vs-Pro-7,-Nadiyad"
"OZON CRICKET TOURNAMENT ,ORGANIZED BY UMIYA YUVK","New Vvnagar, Vallabh Vidyanagar, 01-Mar-20, 16 Ov., ",UK 108( Xi),120/9,Ambica Group,126/5,Ambica Group,10 wickets,"https://cricheroes.in/scorecard/841406/OZON-CRICKET-TOURNAMENT-,ORGANIZED-BY-UMIYA-YUVK/UK-108(-Xi)-vs-Ambica-Group"
"OZON CRICKET TOURNAMENT ,ORGANIZED BY UMIYA YUVK","New Vvnagar, Vallabh Vidyanagar, 01-Mar-20, 14 Ov., ",Ambica Group,157/4,Black Cobra .,85/8,Ambica Group,72 runs,"https://cricheroes.in/scorecard/840375/OZON-CRICKET-TOURNAMENT-,ORGANIZED-BY-UMIYA-YUVK/Ambica-Group-vs-Black-Cobra-."
"OZON CRICKET TOURNAMENT ,ORGANIZED BY UMIYA YUVK","New Vvnagar, Vallabh Vidyanagar, 01-Mar-20, 14 Ov., ",Dream 11( Xi),70/6,UK 108( Xi),71/1,UK 108( Xi),15 wickets,"https://cricheroes.in/scorecard/839770/OZON-CRICKET-TOURNAMENT-,ORGANIZED-BY-UMIYA-YUVK/Dream-11(-Xi)-vs-UK-108(-Xi)"
Individual Match,"Spu Bio Scince, Vallabh Vidyanagar, 29-Feb-20, 14 Ov.",Msc Div B(Fy),27/10,Msc A Div(Fy),28/2,Msc A Div(Fy),8 wickets,https://cricheroes.in/scorecard/833659/individual/Msc-Div-B(Fy)-vs-Msc-A-Div(Fy)
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 26-Dec-20, 20 Ov., ",Topnotch Fooda,272/4,Shivaay 11,118/6,Topnotch Fooda,154 runs,https://cricheroes.in/scorecard/1296607/ELECON-T20-KNOCK-OUT-TOURNAMENT/Topnotch-Fooda-vs-Shivaay-11
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 25-Dec-20, 20 Ov., ",Aashirwad-11,122/10,K.D.C.A 11,123/6,K.D.C.A 11,4 wickets,https://cricheroes.in/scorecard/1291062/ELECON-T20-KNOCK-OUT-TOURNAMENT/Aashirwad-11-vs-K.D.C.A-11
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 23-Dec-20, 20 Ov., ",Lakshyam Sport Club,174/7,Khambhat Sports 11,139/10,Lakshyam Sport Club,35 runs,https://cricheroes.in/scorecard/1283296/ELECON-T20-KNOCK-OUT-TOURNAMENT/Lakshyam-Sport-Club-vs-Khambhat-Sports-11
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 22-Dec-20, 20 Ov., ",Vishvas-11,92/10,"Elecon Cricket Academy,VVN",98/3,"Elecon Cricket Academy,VVN",7 wickets,"https://cricheroes.in/scorecard/1279982/ELECON-T20-KNOCK-OUT-TOURNAMENT/Vishvas-11-vs-Elecon-Cricket-Academy,VVN"
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 21-Dec-20, 20 Ov., ",Stain 11,149/8,Shivaay 11,151/2,Shivaay 11,8 wickets,https://cricheroes.in/scorecard/1277025/ELECON-T20-KNOCK-OUT-TOURNAMENT/Stain-11-vs-Shivaay-11
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 20-Dec-20, 20 Ov., ",CRIC8-B,119/10,Anand The-Unbeatable,96/10,CRIC8-B,23 runs,https://cricheroes.in/scorecard/1273802/ELECON-T20-KNOCK-OUT-TOURNAMENT/CRIC8-B-vs-Anand-The-Unbeatable
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 20-Dec-20, 20 Ov., ",Ford Eleven,165/7,YOUNG-BRIGADE,141/10,Ford Eleven,24 runs,https://cricheroes.in/scorecard/1271375/ELECON-T20-KNOCK-OUT-TOURNAMENT/Ford-Eleven-vs-YOUNG-BRIGADE
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 19-Dec-20, 20 Ov., ",Cric-Fighters,119/9,Aashirwad-11,124/2,Aashirwad-11,8 wickets,https://cricheroes.in/scorecard/1265873/ELECON-T20-KNOCK-OUT-TOURNAMENT/Cric-Fighters-vs-Aashirwad-11
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 18-Dec-20, 20 Ov., ",BCC XI 07,147/8,Prostar Cricket Academy 07,140/8,BCC XI 07,7 runs,https://cricheroes.in/scorecard/1261873/ELECON-T20-KNOCK-OUT-TOURNAMENT/BCC-XI-07-vs-Prostar-Cricket-Academy-07
ELECON T20 KNOCK-OUT TOURNAMENT,"Elecon Cricket Academy, Vallabh Vidyanagar, 17-Dec-20, 20 Ov., ",M.B. Patel Applied College,104/10,Hansie 11,109/2,Hansie 11,8 wickets,https://cricheroes.in/scorecard/1258720/ELECON-T20-KNOCK-OUT-TOURNAMENT/M.B.-Patel-Applied-College-vs-Hansie-11
Individual Match,"Elecon Cricket Ground, Vallabh Vidyanagar, 04-Nov-20, 40 Ov.","Elecon Cricket Academy, Anand",255/7,"Pro-7, Nadiyad",169/10,"Elecon Cricket Academy, Anand",86 runs,"https://cricheroes.in/scorecard/1131107/individual/Elecon-Cricket-Academy,-Anand-vs-Pro-7,-Nadiyad"
"OZON CRICKET TOURNAMENT ,ORGANIZED BY UMIYA YUVK","New Vvnagar, Vallabh Vidyanagar, 01-Mar-20, 16 Ov., ",UK 108( Xi),120/9,Ambica Group,126/5,Ambica Group,10 wickets,"https://cricheroes.in/scorecard/841406/OZON-CRICKET-TOURNAMENT-,ORGANIZED-BY-UMIYA-YUVK/UK-108(-Xi)-vs-Ambica-Group"
"OZON CRICKET TOURNAMENT ,ORGANIZED BY UMIYA YUVK","New Vvnagar, Vallabh Vidyanagar, 01-Mar-20, 14 Ov., ",Ambica Group,157/4,Black Cobra .,85/8,Ambica Group,72 runs,"https://cricheroes.in/scorecard/840375/OZON-CRICKET-TOURNAMENT-,ORGANIZED-BY-UMIYA-YUVK/Ambica-Group-vs-Black-Cobra-."
"OZON CRICKET TOURNAMENT ,ORGANIZED BY UMIYA YUVK","New Vvnagar, Vallabh Vidyanagar, 01-Mar-20, 14 Ov., ",Dream 11( Xi),70/6,UK 108( Xi),71/1,UK 108( Xi),15 wickets,"https://cricheroes.in/scorecard/839770/OZON-CRICKET-TOURNAMENT-,ORGANIZED-BY-UMIYA-YUVK/Dream-11(-Xi)-vs-UK-108(-Xi)"
Individual Match,"Spu Bio Scince, Vallabh Vidyanagar, 29-Feb-20, 14 Ov.",Msc Div B(Fy),27/10,Msc A Div(Fy),28/2,Msc A Div(Fy),8 wickets,https://cricheroes.in/scorecard/833659/individual/Msc-Div-B(Fy)-vs-Msc-A-Div(Fy)
Interclass,"Spu Bio Scince, Vallabh Vidyanagar, 26-Feb-20, 14 Ov., ",TY CHEMISTRY,95/8,Ty Industrial Chemistry,68/7,TY CHEMISTRY,27 runs (D/L),https://cricheroes.in/scorecard/828270/Interclass/TY-CHEMISTRY-vs-Ty-Industrial-Chemistry
Interclass,"Spu Bio Scince, Vallabh Vidyanagar, 26-Feb-20, 12 Ov., ",TY CHEMISTRY,152/4,Sy Bt Gt Bnf,62/10,TY CHEMISTRY,90 runs,https://cricheroes.in/scorecard/827653/Interclass/TY-CHEMISTRY-vs-Sy-Bt-Gt-Bnf
Interclass,"Spu Bio Scince, Vallabh Vidyanagar, 26-Feb-20, 12 Ov., ",Atmiya 11(bca),92/8,Ty Industrial Chemistry,93/2,Ty Industrial Chemistry,8 wickets,https://cricheroes.in/scorecard/827651/Interclass/Atmiya-11(bca)-vs-Ty-Industrial-Chemistry
Interclass,"Spu Bio Scince, Vallabh Vidyanagar, 25-Feb-20, 12 Ov., ",TY CHEMISTRY,161/4,Sy Chemistry,108/6,TY CHEMISTRY,53 runs,https://cricheroes.in/scorecard/826287/Interclass/TY-CHEMISTRY-vs-Sy-Chemistry
Interclass,"Spu Bio Scince, Vallabh Vidyanagar, 25-Feb-20, 12 Ov., ",Ty Industrial Chemistry,122/7,Ty Aph Maths,89/8,Ty Industrial Chemistry,33 runs,https://cricheroes.in/scorecard/825066/Interclass/Ty-Industrial-Chemistry-vs-Ty-Aph-Maths
Interclass,"Spu Bio Scince, Vallabh Vidyanagar, 25-Feb-20, 12 Ov., ",Fy E Div,92/6,Sy Bt Gt Bnf,93/3,Sy Bt Gt Bnf,7 wickets,https://cricheroes.in/scorecard/826006/Interclass/Fy-E-Div-vs-Sy-Bt-Gt-Bnf
Interclass,"Spu Bio Scince, Vallabh Vidyanagar, 25-Feb-20, 12 Ov., ",Atmiya 11(bca),154/5,Ty Chemistry B,50/8,Atmiya 11(bca),104 runs,https://cricheroes.in/scorecard/825062/Interclass/Atmiya-11(bca)-vs-Ty-Chemistry-B
Interclass,"Spu Bio Scince, Vallabh Vidyanagar, 25-Feb-20, 12 Ov., ",Ty It,74/6,Sy Chemistry,76/1,Sy Chemistry,9 wickets,https://cricheroes.in/scorecard/825059/Interclass/Ty-It-vs-Sy-Chemistry
Interclass,"Spu Bio Scince, Vallabh Vidyanagar, 25-Feb-20, 12 Ov., ",Fy Ca It,63/6,Sy Bt Gt Bnf,64/2,Sy Bt Gt Bnf,8 wickets,https://cricheroes.in/scorecard/825055/Interclass/Fy-Ca-It-vs-Sy-Bt-Gt-Bnf
Interclass,"Spu Bio Scince, Vallabh Vidyanagar, 25-Feb-20, 12 Ov., ",Fy E Div,117/4,Sy Ic,75/10,Fy E Div,42 runs,https://cricheroes.in/scorecard/824837/Interclass/Fy-E-Div-vs-Sy-Ic
"OZON CRICKET TOURNAMENT ,ORGANIZED BY UMIYA YUVK","ADIT Cricket Ground, Vallabh Vidyanagar, 23-Feb-20, 12 Ov., ",Black Cobra .,47/10,UK 108( Xi),48/1,UK 108( Xi),14 wickets,"https://cricheroes.in/scorecard/821621/OZON-CRICKET-TOURNAMENT-,ORGANIZED-BY-UMIYA-YUVK/Black-Cobra-.-vs-UK-108(-Xi)"
"OZON CRICKET TOURNAMENT ,ORGANIZED BY UMIYA YUVK","ADIT Cricket Ground, Vallabh Vidyanagar, 23-Feb-20, 12 Ov., ",Ambica Group,152/3,Dream 11( Xi),85/10,Ambica Group,67 runs (Ambica xi won by 67 ),"https://cricheroes.in/scorecard/821613/OZON-CRICKET-TOURNAMENT-,ORGANIZED-BY-UMIYA-YUVK/Ambica-Group-vs-Dream-11(-Xi)"
"OZON CRICKET TOURNAMENT ,ORGANIZED BY UMIYA YUVK","ADIT Cricket Ground, Vallabh Vidyanagar, 23-Feb-20, 12 Ov., ",Black Cobra .,86/4,Kuldevi Group,73/10,Black Cobra .,13 runs,"https://cricheroes.in/scorecard/819183/OZON-CRICKET-TOURNAMENT-,ORGANIZED-BY-UMIYA-YUVK/Black-Cobra-.-vs-Kuldevi-Group"
"OZON CRICKET TOURNAMENT ,ORGANIZED BY UMIYA YUVK","ADIT Cricket Ground, Vallabh Vidyanagar, 23-Feb-20, 12 Ov., ",Ambica Group,114/5,LG11,81/8,Ambica Group,33 runs,"https://cricheroes.in/scorecard/819163/OZON-CRICKET-TOURNAMENT-,ORGANIZED-BY-UMIYA-YUVK/Ambica-Group-vs-LG11"
"OZON CRICKET TOURNAMENT ,ORGANIZED BY UMIYA YUVK","ADIT Cricket Ground, Vallabh Vidyanagar, 23-Feb-20, 12 Ov., ",UK 108( Xi),138/3,Kuldevi Group,71/6,UK 108( Xi),67 runs,"https://cricheroes.in/scorecard/819142/OZON-CRICKET-TOURNAMENT-,ORGANIZED-BY-UMIYA-YUVK/UK-108(-Xi)-vs-Kuldevi-Group"
Interclass,"Spu Bio Scince, Vallabh Vidyanagar, 26-Feb-20, 14 Ov., ",TY CHEMISTRY,95/8,Ty Industrial Chemistry,68/7,TY CHEMISTRY,27 runs (D/L),https://cricheroes.in/scorecard/828270/Interclass/TY-CHEMISTRY-vs-Ty-Industrial-Chemistry
Interclass,"Spu Bio Scince, Vallabh Vidyanagar, 26-Feb-20, 12 Ov., ",TY CHEMISTRY,152/4,Sy Bt Gt Bnf,62/10,TY CHEMISTRY,90 runs,https://cricheroes.in/scorecard/827653/Interclass/TY-CHEMISTRY-vs-Sy-Bt-Gt-Bnf
Interclass,"Spu Bio Scince, Vallabh Vidyanagar, 26-Feb-20, 12 Ov., ",Atmiya 11(bca),92/8,Ty Industrial Chemistry,93/2,Ty Industrial Chemistry,8 wickets,https://cricheroes.in/scorecard/827651/Interclass/Atmiya-11(bca)-vs-Ty-Industrial-Chemistry
Interclass,"Spu Bio Scince, Vallabh Vidyanagar, 25-Feb-20, 12 Ov., ",TY CHEMISTRY,161/4,Sy Chemistry,108/6,TY CHEMISTRY,53 runs,https://cricheroes.in/scorecard/826287/Interclass/TY-CHEMISTRY-vs-Sy-Chemistry
Interclass,"Spu Bio Scince, Vallabh Vidyanagar, 25-Feb-20, 12 Ov., ",Ty Industrial Chemistry,122/7,Ty Aph Maths,89/8,Ty Industrial Chemistry,33 runs,https://cricheroes.in/scorecard/825066/Interclass/Ty-Industrial-Chemistry-vs-Ty-Aph-Maths
Interclass,"Spu Bio Scince, Vallabh Vidyanagar, 25-Feb-20, 12 Ov., ",Fy E Div,92/6,Sy Bt Gt Bnf,93/3,Sy Bt Gt Bnf,7 wickets,https://cricheroes.in/scorecard/826006/Interclass/Fy-E-Div-vs-Sy-Bt-Gt-Bnf
Interclass,"Spu Bio Scince, Vallabh Vidyanagar, 25-Feb-20, 12 Ov., ",Atmiya 11(bca),154/5,Ty Chemistry B,50/8,Atmiya 11(bca),104 runs,https://cricheroes.in/scorecard/825062/Interclass/Atmiya-11(bca)-vs-Ty-Chemistry-B
Interclass,"Spu Bio Scince, Vallabh Vidyanagar, 25-Feb-20, 12 Ov., ",Ty It,74/6,Sy Chemistry,76/1,Sy Chemistry,9 wickets,https://cricheroes.in/scorecard/825059/Interclass/Ty-It-vs-Sy-Chemistry
Interclass,"Spu Bio Scince, Vallabh Vidyanagar, 25-Feb-20, 12 Ov., ",Fy Ca It,63/6,Sy Bt Gt Bnf,64/2,Sy Bt Gt Bnf,8 wickets,https://cricheroes.in/scorecard/825055/Interclass/Fy-Ca-It-vs-Sy-Bt-Gt-Bnf
Interclass,"Spu Bio Scince, Vallabh Vidyanagar, 25-Feb-20, 12 Ov., ",Fy E Div,117/4,Sy Ic,75/10,Fy E Div,42 runs,https://cricheroes.in/scorecard/824837/Interclass/Fy-E-Div-vs-Sy-Ic
"OZON CRICKET TOURNAMENT ,ORGANIZED BY UMIYA YUVK","ADIT Cricket Ground, Vallabh Vidyanagar, 23-Feb-20, 12 Ov., ",Black Cobra .,47/10,UK 108( Xi),48/1,UK 108( Xi),14 wickets,"https://cricheroes.in/scorecard/821621/OZON-CRICKET-TOURNAMENT-,ORGANIZED-BY-UMIYA-YUVK/Black-Cobra-.-vs-UK-108(-Xi)"
"OZON CRICKET TOURNAMENT ,ORGANIZED BY UMIYA YUVK","ADIT Cricket Ground, Vallabh Vidyanagar, 23-Feb-20, 12 Ov., ",Ambica Group,152/3,Dream 11( Xi),85/10,Ambica Group,67 runs (Ambica xi won by 67 ),"https://cricheroes.in/scorecard/821613/OZON-CRICKET-TOURNAMENT-,ORGANIZED-BY-UMIYA-YUVK/Ambica-Group-vs-Dream-11(-Xi)"
"OZON CRICKET TOURNAMENT ,ORGANIZED BY UMIYA YUVK","ADIT Cricket Ground, Vallabh Vidyanagar, 23-Feb-20, 12 Ov., ",Black Cobra .,86/4,Kuldevi Group,73/10,Black Cobra .,13 runs,"https://cricheroes.in/scorecard/819183/OZON-CRICKET-TOURNAMENT-,ORGANIZED-BY-UMIYA-YUVK/Black-Cobra-.-vs-Kuldevi-Group"
"OZON CRICKET TOURNAMENT ,ORGANIZED BY UMIYA YUVK","ADIT Cricket Ground, Vallabh Vidyanagar, 23-Feb-20, 12 Ov., ",Ambica Group,114/5,LG11,81/8,Ambica Group,33 runs,"https://cricheroes.in/scorecard/819163/OZON-CRICKET-TOURNAMENT-,ORGANIZED-BY-UMIYA-YUVK/Ambica-Group-vs-LG11"
"OZON CRICKET TOURNAMENT ,ORGANIZED BY UMIYA YUVK","ADIT Cricket Ground, Vallabh Vidyanagar, 23-Feb-20, 12 Ov., ",UK 108( Xi),138/3,Kuldevi Group,71/6,UK 108( Xi),67 runs,"https://cricheroes.in/scorecard/819142/OZON-CRICKET-TOURNAMENT-,ORGANIZED-BY-UMIYA-YUVK/UK-108(-Xi)-vs-Kuldevi-Group"
"OZON CRICKET TOURNAMENT ,ORGANIZED BY UMIYA YUVK","ADIT Cricket Ground, Vallabh Vidyanagar, 23-Feb-20, 12 Ov., ",LG11,75/7,Dream 11( Xi),78/3,Dream 11( Xi),12 wickets,"https://cricheroes.in/scorecard/819076/OZON-CRICKET-TOURNAMENT-,ORGANIZED-BY-UMIYA-YUVK/LG11-vs-Dream-11(-Xi)"
SJLVB CRICKET LEAGUE,"Spu Bio Scince, Vallabh Vidyanagar, 16-Feb-20, 12 Ov., ",Royal Raghuvanshi 11,120/4,Jalaram X1,66/7,Royal Raghuvanshi 11,54 runs,https://cricheroes.in/scorecard/797671/SJLVB-CRICKET-LEAGUE/Royal-Raghuvanshi-11-vs-Jalaram-X1
Individual Match,"Sastri Ground, Vallabh Vidyanagar, 15-Feb-20, 6 Ov.",Bbit Ec Girls,82/0,Bbit IT Girls,73/3,Bbit Ec Girls,9 runs,https://cricheroes.in/scorecard/795233/individual/Bbit-Ec-Girls-vs-Bbit-IT-Girls
Individual Match,"Sastri Ground, Vallabh Vidyanagar, 15-Feb-20, 12 Ov.",Bbit Faculty Team,133/9,Bbit Students,108/3,Bbit Faculty Team,25 runs,https://cricheroes.in/scorecard/794745/individual/Bbit-Faculty-Team-vs-Bbit-Students
